Income,Living_Standards,Homeownership_Status,Location,Work_Experience,Type_of_Housing,Number_of_Dependents,Household_Size,Age,Employment_Status
69456,Low,Own,Urban,8,Single-family home,3,2,48,Full-time
258982,High,Rent,Suburban,21,Single-family home,2,5,20,Part-time
328269,High,Rent,Urban,15,Apartment,1,4,48,Full-time
6422215,High,Rent,Urban,6,Single-family home,5,5,70,Part-time
67976,Low,Own,Urban,12,Apartment,3,2,24,Full-time
74556,Medium,Own,Urban,21,Apartment,1,2,22,Full-time
1159910,High,Own,Suburban,1,Apartment,1,6,66,Full-time
70194,Medium,Own,Urban,25,Single-family home,3,6,20,Full-time
4649856,High,Own,Suburban,24,Apartment,5,1,67,Full-time
71270,Medium,Own,Urban,30,Apartment,5,7,19,Full-time
290025,High,Rent,Suburban,5,Apartment,0,5,61,Full-time
66280,Low,Own,Urban,32,Townhouse,2,6,56,Full-time
796898,High,Own,Rural,43,Single-family home,4,6,64,Full-time
122665,Medium,Rent,Urban,34,Apartment,4,6,57,Full-time
70822,Medium,Rent,Urban,10,Single-family home,0,5,61,Self-employed
69232,Low,Own,Urban,9,Apartment,1,1,22,Full-time
526109,High,Own,Urban,49,Single-family home,3,2,48,Self-employed
392680,High,Own,Rural,9,Single-family home,5,4,65,Full-time
66700,Low,Rent,Rural,17,Single-family home,5,6,57,Part-time
73572,Medium,Own,Urban,19,Single-family home,0,5,28,Part-time
2523533,High,Own,Suburban,14,Apartment,3,3,47,Self-employed
307360,High,Own,Urban,27,Townhouse,0,6,41,Full-time
33942,Low,Rent,Urban,16,Townhouse,4,1,70,Full-time
74446,Medium,Rent,Urban,36,Single-family home,4,4,41,Self-employed
1127754,High,Own,Urban,41,Apartment,4,7,47,Part-time
358157,High,Rent,Urban,34,Single-family home,5,1,68,Full-time
65840,Low,Own,Suburban,50,Single-family home,1,7,49,Full-time
838928,High,Own,Urban,6,Apartment,4,7,60,Full-time
75400,Medium,Own,Suburban,40,Single-family home,0,5,48,Full-time
1701415,High,Rent,Urban,47,Apartment,0,4,45,Part-time
89480,Medium,Rent,Rural,49,Apartment,1,2,42,Full-time
187605,High,Rent,Urban,43,Apartment,2,5,46,Part-time
68004,Low,Own,Suburban,2,Single-family home,2,7,45,Self-employed
3527465,High,Own,Suburban,11,Apartment,4,4,51,Full-time
74912,Medium,Own,Suburban,19,Single-family home,2,1,68,Self-employed
1236409,High,Rent,Urban,24,Single-family home,2,6,56,Full-time
68872,Low,Rent,Suburban,31,Single-family home,0,2,28,Part-time
66052,Low,Own,Urban,26,Single-family home,5,2,29,Full-time
683191,High,Own,Urban,6,Single-family home,5,6,45,Full-time
42158,Low,Rent,Urban,14,Apartment,0,1,18,Part-time
65766,Low,Own,Rural,46,Apartment,0,5,38,Self-employed
67604,Low,Own,Urban,24,Single-family home,2,2,43,Part-time
1106790,High,Rent,Suburban,34,Apartment,1,5,53,Full-time
73550,Medium,Rent,Urban,10,Apartment,3,6,69,Full-time
70050,Medium,Own,Urban,46,Single-family home,3,6,18,Full-time
75278,Medium,Rent,Suburban,35,Apartment,2,4,47,Part-time
73742,Medium,Rent,Rural,11,Apartment,1,3,57,Full-time
69426,Low,Own,Urban,44,Single-family home,0,5,40,Full-time
67552,Low,Rent,Urban,6,Single-family home,1,3,34,Full-time
71640,Medium,Own,Rural,0,Apartment,4,1,63,Full-time
64884,Low,Own,Urban,22,Apartment,0,5,29,Full-time
65326,Low,Own,Urban,18,Single-family home,5,1,69,Part-time
73660,Medium,Own,Urban,32,Apartment,5,2,55,Self-employed
6966644,High,Own,Rural,40,Apartment,5,5,59,Full-time
69876,Low,Rent,Urban,47,Apartment,1,3,41,Part-time
73162,Medium,Rent,Urban,13,Apartment,1,2,49,Full-time
3167843,High,Own,Urban,44,Apartment,5,7,35,Part-time
65100,Low,Rent,Suburban,0,Single-family home,4,5,66,Full-time
67392,Low,Own,Urban,18,Single-family home,2,6,25,Self-employed
74786,Medium,Own,Urban,24,Apartment,0,3,37,Part-time
67044,Low,Rent,Urban,26,Apartment,1,5,49,Self-employed
71866,Medium,Own,Urban,16,Apartment,0,5,61,Full-time
72050,Medium,Rent,Urban,13,Apartment,5,1,59,Full-time
73820,Medium,Own,Urban,12,Townhouse,4,7,20,Full-time
65558,Low,Rent,Rural,21,Single-family home,4,6,63,Part-time
71320,Medium,Own,Urban,0,Townhouse,2,5,42,Full-time
747580,High,Rent,Suburban,20,Single-family home,2,4,25,Full-time
67160,Low,Own,Rural,45,Apartment,3,2,30,Full-time
590011,High,Rent,Urban,37,Apartment,5,6,28,Full-time
66866,Low,Own,Urban,11,Townhouse,0,1,52,Full-time
74352,Medium,Own,Urban,43,Townhouse,2,1,18,Full-time
71236,Medium,Own,Suburban,29,Single-family home,1,7,22,Full-time
74594,Medium,Own,Urban,26,Single-family home,5,7,43,Self-employed
31398,Low,Rent,Urban,38,Single-family home,2,6,34,Part-time
70658,Medium,Own,Urban,34,Apartment,5,6,45,Part-time
74608,Medium,Rent,Urban,47,Townhouse,0,5,18,Full-time
66188,Low,Own,Urban,18,Apartment,1,2,60,Full-time
1053161,High,Rent,Suburban,48,Single-family home,4,3,57,Full-time
69316,Low,Own,Urban,26,Townhouse,2,3,51,Part-time
69218,Low,Own,Suburban,29,Apartment,1,5,68,Self-employed
67342,Low,Own,Urban,31,Townhouse,3,5,32,Full-time
142943,Medium,Rent,Urban,17,Apartment,0,3,63,Full-time
67444,Low,Rent,Rural,0,Townhouse,1,3,55,Full-time
69418,Low,Own,Rural,33,Single-family home,4,7,70,Part-time
69778,Low,Own,Suburban,28,Apartment,2,6,34,Self-employed
73356,Medium,Rent,Urban,8,Townhouse,4,3,45,Part-time
4319486,High,Rent,Suburban,35,Single-family home,2,5,33,Full-time
2892126,High,Own,Urban,14,Single-family home,5,3,63,Part-time
36009,Low,Rent,Urban,6,Single-family home,3,2,27,Full-time
74914,Medium,Rent,Urban,21,Apartment,3,7,68,Full-time
65198,Low,Own,Urban,45,Single-family home,1,6,19,Self-employed
534335,High,Own,Urban,12,Single-family home,2,1,43,Part-time
73216,Medium,Own,Rural,11,Single-family home,1,7,37,Full-time
149465,Medium,Own,Rural,24,Single-family home,5,5,29,Part-time
67456,Low,Rent,Urban,10,Single-family home,5,5,38,Part-time
69452,Low,Rent,Urban,46,Single-family home,4,6,47,Part-time
4413398,High,Own,Urban,10,Single-family home,5,7,47,Full-time
67276,Low,Rent,Rural,49,Apartment,2,7,25,Part-time
183273,High,Rent,Suburban,14,Single-family home,0,4,46,Full-time
113973,Medium,Rent,Urban,45,Apartment,1,5,34,Part-time
69860,Low,Own,Urban,37,Townhouse,5,4,52,Part-time
74480,Medium,Own,Suburban,7,Single-family home,4,4,38,Part-time
3809393,High,Rent,Urban,45,Single-family home,0,5,51,Part-time
73396,Medium,Own,Suburban,23,Apartment,4,1,27,Full-time
725420,High,Rent,Urban,18,Townhouse,2,6,55,Full-time
70814,Medium,Rent,Urban,20,Apartment,5,2,51,Full-time
71970,Medium,Own,Urban,26,Single-family home,4,5,28,Part-time
68744,Low,Own,Suburban,1,Single-family home,1,4,32,Full-time
41476,Low,Own,Urban,34,Townhouse,0,3,51,Self-employed
74546,Medium,Rent,Urban,35,Townhouse,1,7,41,Full-time
69312,Low,Own,Urban,14,Apartment,2,6,18,Self-employed
65220,Low,Rent,Suburban,44,Townhouse,4,3,58,Self-employed
728777,High,Rent,Suburban,43,Apartment,5,2,53,Self-employed
75016,Medium,Rent,Suburban,17,Single-family home,4,3,30,Part-time
69600,Low,Own,Urban,31,Single-family home,0,5,41,Part-time
2045766,High,Own,Rural,20,Single-family home,5,6,42,Self-employed
3093723,High,Rent,Urban,12,Apartment,1,5,37,Self-employed
113447,Medium,Rent,Urban,35,Apartment,2,4,42,Part-time
67054,Low,Rent,Rural,44,Townhouse,4,2,47,Full-time
71704,Medium,Own,Urban,45,Apartment,0,1,41,Full-time
68672,Low,Own,Urban,21,Apartment,4,1,47,Full-time
1033625,High,Rent,Urban,30,Single-family home,2,2,32,Full-time
67766,Low,Own,Urban,25,Single-family home,2,4,62,Part-time
183632,High,Rent,Suburban,33,Single-family home,1,6,50,Part-time
141273,Medium,Own,Urban,18,Apartment,5,2,28,Part-time
137719,Medium,Own,Urban,5,Apartment,2,1,39,Full-time
74148,Medium,Rent,Urban,32,Apartment,0,1,22,Part-time
73036,Medium,Own,Urban,30,Apartment,0,5,34,Part-time
2552023,High,Own,Suburban,5,Apartment,3,5,20,Full-time
70592,Medium,Own,Suburban,44,Townhouse,1,2,45,Full-time
71956,Medium,Own,Rural,6,Townhouse,4,3,35,Full-time
155601,High,Rent,Urban,43,Apartment,5,7,26,Full-time
70888,Medium,Own,Urban,18,Townhouse,4,5,33,Self-employed
9634966,High,Rent,Suburban,27,Single-family home,3,7,26,Self-employed
70788,Medium,Own,Urban,19,Apartment,5,7,39,Full-time
74966,Medium,Own,Urban,25,Single-family home,3,7,20,Part-time
72936,Medium,Own,Urban,13,Single-family home,0,7,19,Full-time
68742,Low,Rent,Urban,36,Apartment,4,6,27,Part-time
74994,Medium,Rent,Rural,17,Apartment,3,1,47,Part-time
67066,Low,Rent,Urban,49,Apartment,1,4,45,Full-time
73314,Medium,Rent,Suburban,37,Apartment,3,1,33,Full-time
385059,High,Rent,Urban,1,Single-family home,1,1,43,Self-employed
68994,Low,Rent,Urban,12,Apartment,4,3,54,Full-time
71758,Medium,Own,Suburban,9,Townhouse,0,3,25,Full-time
539902,High,Own,Urban,42,Townhouse,2,7,26,Full-time
73580,Medium,Own,Suburban,20,Single-family home,4,6,65,Part-time
75012,Medium,Own,Urban,29,Apartment,5,3,32,Full-time
3023411,High,Rent,Rural,4,Apartment,5,4,22,Full-time
1552014,High,Rent,Suburban,17,Single-family home,3,4,69,Full-time
1691130,High,Own,Urban,24,Townhouse,5,5,18,Self-employed
72102,Medium,Rent,Urban,4,Apartment,5,1,57,Part-time
47148,Low,Own,Suburban,40,Townhouse,2,4,70,Self-employed
67452,Low,Own,Urban,15,Apartment,2,3,19,Full-time
72838,Medium,Rent,Urban,20,Townhouse,5,3,38,Full-time
222885,High,Rent,Urban,28,Apartment,4,3,27,Full-time
68742,Low,Own,Urban,19,Single-family home,4,1,66,Full-time
74910,Medium,Own,Urban,1,Apartment,5,7,55,Full-time
279628,High,Own,Suburban,8,Single-family home,2,5,49,Full-time
4203617,High,Own,Suburban,11,Apartment,4,7,43,Full-time
73354,Medium,Rent,Urban,36,Apartment,4,3,47,Part-time
1844105,High,Own,Urban,39,Townhouse,3,6,34,Full-time
8000230,High,Rent,Urban,40,Single-family home,1,3,27,Full-time
68102,Low,Own,Suburban,13,Single-family home,4,7,38,Self-employed
1875584,High,Own,Urban,30,Single-family home,0,2,50,Full-time
6854057,High,Own,Suburban,32,Apartment,1,2,66,Part-time
72886,Medium,Own,Suburban,0,Single-family home,4,4,47,Full-time
65068,Low,Own,Urban,4,Apartment,5,5,47,Full-time
461929,High,Rent,Urban,8,Single-family home,4,7,58,Full-time
66872,Low,Own,Suburban,48,Apartment,4,7,34,Full-time
410511,High,Rent,Urban,33,Townhouse,4,3,33,Part-time
68412,Low,Own,Urban,26,Single-family home,2,5,30,Full-time
133733,Medium,Rent,Urban,4,Apartment,5,3,22,Self-employed
1256418,High,Own,Urban,20,Single-family home,0,1,23,Self-employed
71924,Medium,Own,Urban,26,Apartment,4,3,62,Self-employed
7054346,High,Own,Suburban,50,Apartment,5,4,46,Full-time
72178,Medium,Own,Suburban,15,Townhouse,0,5,62,Part-time
70318,Medium,Own,Suburban,28,Apartment,0,3,51,Full-time
70368,Medium,Own,Rural,50,Single-family home,0,6,69,Part-time
74652,Medium,Rent,Urban,49,Apartment,3,4,39,Self-employed
65502,Low,Own,Urban,43,Apartment,4,5,52,Self-employed
72072,Medium,Own,Rural,49,Single-family home,0,5,39,Full-time
72812,Medium,Own,Suburban,45,Apartment,0,5,65,Full-time
72370,Medium,Own,Urban,23,Single-family home,3,1,27,Full-time
945807,High,Own,Urban,3,Single-family home,0,7,65,Part-time
69850,Low,Rent,Suburban,31,Single-family home,2,3,44,Full-time
68330,Low,Rent,Suburban,3,Apartment,3,2,27,Full-time
73894,Medium,Own,Urban,30,Single-family home,5,4,48,Full-time
512866,High,Own,Suburban,7,Apartment,5,4,18,Self-employed
4178989,High,Own,Rural,49,Apartment,3,3,43,Self-employed
1984055,High,Rent,Suburban,24,Townhouse,4,4,41,Full-time
73556,Medium,Own,Urban,48,Single-family home,0,7,40,Part-time
9194486,High,Rent,Urban,30,Single-family home,0,1,44,Self-employed
71166,Medium,Own,Suburban,30,Apartment,2,1,61,Full-time
72736,Medium,Own,Urban,27,Townhouse,2,2,30,Full-time
72020,Medium,Rent,Urban,11,Single-family home,1,6,57,Self-employed
954271,High,Own,Urban,15,Apartment,3,6,48,Part-time
75116,Medium,Rent,Rural,38,Townhouse,4,6,30,Full-time
68036,Low,Rent,Urban,10,Single-family home,1,1,62,Part-time
71626,Medium,Rent,Urban,47,Apartment,3,2,63,Part-time
49106,Low,Own,Urban,39,Single-family home,4,1,61,Self-employed
92578,Medium,Own,Urban,35,Apartment,1,5,39,Part-time
180667,High,Rent,Suburban,33,Single-family home,3,4,47,Part-time
73452,Medium,Own,Suburban,34,Apartment,0,4,19,Full-time
66710,Low,Own,Urban,25,Single-family home,5,4,22,Full-time
666836,High,Rent,Urban,23,Apartment,0,6,25,Part-time
74128,Medium,Own,Suburban,37,Single-family home,4,5,23,Self-employed
1154564,High,Rent,Urban,20,Single-family home,1,6,37,Full-time
74192,Medium,Rent,Urban,0,Apartment,0,3,25,Part-time
75150,Medium,Own,Urban,23,Apartment,0,1,39,Part-time
509824,High,Rent,Urban,34,Single-family home,2,2,42,Full-time
72526,Medium,Rent,Suburban,12,Apartment,2,2,52,Full-time
7914068,High,Rent,Urban,34,Apartment,1,5,54,Self-employed
67618,Low,Own,Suburban,45,Apartment,0,7,55,Full-time
73542,Medium,Own,Urban,19,Single-family home,0,5,58,Part-time
72968,Medium,Own,Urban,1,Single-family home,3,4,66,Self-employed
7713427,High,Own,Urban,7,Apartment,1,6,66,Part-time
69480,Low,Rent,Urban,0,Single-family home,0,2,52,Self-employed
68376,Low,Own,Urban,4,Townhouse,1,5,43,Full-time
7474870,High,Rent,Urban,28,Apartment,5,2,21,Self-employed
69592,Low,Own,Urban,13,Single-family home,3,6,40,Self-employed
69206,Low,Own,Urban,40,Apartment,1,5,64,Part-time
227004,High,Rent,Urban,13,Townhouse,1,6,41,Full-time
67456,Low,Rent,Urban,20,Townhouse,3,5,65,Full-time
555007,High,Rent,Suburban,23,Single-family home,2,1,23,Full-time
4974563,High,Rent,Urban,25,Single-family home,0,5,43,Full-time
412635,High,Rent,Suburban,23,Apartment,1,6,30,Full-time
70244,Medium,Own,Urban,37,Apartment,5,7,55,Part-time
106368,Medium,Own,Urban,43,Single-family home,1,2,41,Full-time
3714714,High,Rent,Urban,49,Apartment,1,2,41,Self-employed
65560,Low,Own,Urban,29,Single-family home,3,5,40,Part-time
1642470,High,Rent,Suburban,33,Apartment,0,1,52,Full-time
73452,Medium,Own,Suburban,24,Apartment,2,3,63,Full-time
4432778,High,Rent,Urban,31,Apartment,4,1,19,Self-employed
1191341,High,Rent,Urban,31,Townhouse,0,6,60,Part-time
65104,Low,Rent,Suburban,24,Townhouse,1,1,24,Full-time
74784,Medium,Own,Suburban,2,Townhouse,5,2,20,Self-employed
73382,Medium,Rent,Urban,31,Single-family home,0,5,38,Full-time
1331940,High,Rent,Urban,46,Apartment,3,7,67,Full-time
69878,Low,Own,Urban,32,Single-family home,1,4,28,Full-time
71608,Medium,Own,Urban,29,Single-family home,5,5,60,Self-employed
66384,Low,Own,Urban,12,Apartment,3,3,49,Full-time
72156,Medium,Own,Urban,38,Apartment,5,3,40,Full-time
520427,High,Own,Urban,19,Apartment,3,3,50,Part-time
65910,Low,Own,Suburban,33,Apartment,3,6,19,Full-time
398632,High,Rent,Urban,31,Apartment,0,3,51,Part-time
31276,Low,Rent,Urban,35,Single-family home,5,6,23,Part-time
37088,Low,Own,Urban,34,Single-family home,3,1,35,Full-time
2055794,High,Own,Suburban,8,Apartment,1,2,43,Full-time
57231,Low,Rent,Suburban,13,Apartment,0,5,28,Full-time
73840,Medium,Rent,Suburban,18,Townhouse,4,4,20,Part-time
5343504,High,Own,Urban,18,Single-family home,5,6,51,Full-time
37341,Low,Rent,Urban,8,Single-family home,1,4,65,Full-time
1434300,High,Rent,Urban,40,Apartment,1,7,20,Full-time
68944,Low,Own,Urban,2,Townhouse,0,3,31,Full-time
69136,Low,Own,Rural,39,Apartment,0,7,33,Self-employed
72232,Medium,Rent,Urban,12,Apartment,4,5,27,Self-employed
73218,Medium,Rent,Urban,1,Single-family home,0,4,59,Full-time
1747309,High,Rent,Suburban,49,Apartment,2,6,24,Full-time
1707102,High,Rent,Urban,22,Single-family home,0,4,20,Part-time
71398,Medium,Own,Suburban,6,Single-family home,1,7,42,Full-time
71802,Medium,Own,Rural,28,Apartment,5,1,35,Part-time
65910,Low,Own,Urban,28,Townhouse,3,2,31,Full-time
72856,Medium,Rent,Urban,12,Single-family home,5,6,56,Full-time
66906,Low,Own,Suburban,27,Apartment,0,4,54,Full-time
67150,Low,Own,Urban,44,Single-family home,3,2,64,Part-time
38179,Low,Own,Urban,32,Single-family home,0,2,56,Self-employed
343764,High,Own,Rural,37,Apartment,0,7,45,Part-time
72060,Medium,Rent,Urban,3,Single-family home,3,4,33,Self-employed
68974,Low,Own,Rural,2,Single-family home,1,4,57,Self-employed
66530,Low,Own,Suburban,2,Apartment,2,6,27,Full-time
1893747,High,Rent,Urban,13,Single-family home,4,7,62,Self-employed
68868,Low,Rent,Suburban,12,Apartment,3,2,57,Full-time
59242,Low,Rent,Suburban,12,Single-family home,4,4,44,Full-time
67842,Low,Rent,Urban,24,Townhouse,1,7,23,Part-time
157265,High,Own,Urban,36,Townhouse,2,6,52,Full-time
8567482,High,Own,Urban,26,Apartment,2,3,29,Full-time
70592,Medium,Own,Urban,44,Single-family home,5,3,31,Full-time
5406118,High,Own,Suburban,13,Apartment,4,1,48,Full-time
65648,Low,Rent,Urban,17,Apartment,4,4,24,Full-time
69706,Low,Own,Urban,26,Single-family home,2,4,59,Part-time
1943637,High,Rent,Urban,22,Apartment,5,7,23,Full-time
111186,Medium,Own,Suburban,38,Townhouse,0,4,30,Full-time
74200,Medium,Own,Urban,48,Apartment,4,7,43,Part-time
299936,High,Own,Rural,29,Single-family home,3,5,42,Full-time
2983733,High,Rent,Urban,3,Single-family home,2,3,26,Full-time
7393887,High,Own,Urban,25,Single-family home,2,1,43,Part-time
72476,Medium,Own,Urban,11,Single-family home,0,5,39,Part-time
69980,Low,Rent,Urban,6,Apartment,2,5,29,Full-time
80940,Medium,Rent,Urban,37,Apartment,0,7,21,Part-time
69334,Low,Own,Urban,7,Single-family home,0,1,39,Full-time
69458,Low,Own,Suburban,0,Single-family home,5,4,35,Full-time
2561004,High,Rent,Urban,14,Townhouse,0,4,49,Part-time
65754,Low,Own,Urban,11,Single-family home,5,6,64,Self-employed
74902,Medium,Rent,Urban,42,Apartment,3,1,44,Full-time
74136,Medium,Own,Urban,25,Townhouse,5,5,54,Part-time
141678,Medium,Rent,Urban,9,Apartment,4,3,36,Part-time
69004,Low,Own,Urban,40,Single-family home,1,5,46,Full-time
72304,Medium,Own,Rural,14,Single-family home,5,5,45,Self-employed
821888,High,Own,Urban,5,Single-family home,3,4,28,Full-time
8780759,High,Own,Urban,22,Apartment,3,4,30,Part-time
95938,Medium,Rent,Suburban,14,Single-family home,5,5,51,Full-time
151844,High,Own,Urban,21,Townhouse,3,3,29,Self-employed
2185268,High,Rent,Rural,30,Single-family home,3,7,30,Full-time
73990,Medium,Own,Urban,20,Single-family home,3,3,45,Part-time
65014,Low,Rent,Urban,0,Single-family home,4,5,21,Self-employed
71490,Medium,Own,Urban,47,Single-family home,0,6,46,Full-time
215343,High,Own,Suburban,25,Apartment,5,6,31,Full-time
70242,Medium,Own,Urban,7,Apartment,1,2,30,Full-time
4726157,High,Own,Urban,5,Townhouse,4,4,45,Full-time
93280,Medium,Own,Suburban,1,Apartment,4,4,42,Self-employed
69244,Low,Own,Urban,16,Apartment,1,1,40,Full-time
68446,Low,Own,Urban,47,Townhouse,1,5,48,Self-employed
8358611,High,Own,Rural,44,Apartment,0,4,60,Part-time
66788,Low,Rent,Urban,40,Single-family home,0,4,51,Full-time
5615473,High,Own,Urban,26,Single-family home,5,1,61,Part-time
72718,Medium,Own,Urban,17,Townhouse,2,6,52,Full-time
68204,Low,Own,Urban,32,Single-family home,3,4,61,Part-time
400202,High,Own,Urban,1,Apartment,3,1,45,Full-time
70596,Medium,Own,Urban,20,Townhouse,5,5,68,Full-time
72296,Medium,Own,Rural,9,Single-family home,3,1,37,Full-time
72952,Medium,Own,Urban,40,Single-family home,5,1,66,Part-time
70516,Medium,Rent,Suburban,42,Townhouse,0,4,54,Part-time
69654,Low,Own,Urban,26,Apartment,2,3,53,Self-employed
65960,Low,Own,Urban,24,Townhouse,0,2,37,Full-time
66566,Low,Rent,Suburban,42,Townhouse,0,1,28,Self-employed
70772,Medium,Rent,Urban,5,Townhouse,1,5,35,Part-time
72650,Medium,Own,Urban,4,Apartment,4,6,22,Full-time
73992,Medium,Own,Urban,47,Apartment,3,2,55,Full-time
66762,Low,Own,Rural,10,Apartment,2,5,35,Part-time
5794992,High,Rent,Suburban,39,Single-family home,3,6,69,Part-time
65794,Low,Rent,Suburban,34,Townhouse,0,2,50,Part-time
65064,Low,Own,Urban,26,Single-family home,4,1,21,Full-time
153459,High,Own,Urban,25,Single-family home,3,2,34,Self-employed
72646,Medium,Own,Suburban,40,Townhouse,1,5,30,Part-time
70698,Medium,Own,Urban,25,Single-family home,2,7,22,Part-time
70092,Medium,Own,Urban,35,Apartment,5,7,30,Full-time
71254,Medium,Own,Urban,19,Apartment,4,2,26,Full-time
65394,Low,Own,Urban,11,Townhouse,1,6,19,Part-time
1284506,High,Rent,Urban,39,Single-family home,1,3,70,Part-time
69680,Low,Own,Urban,6,Single-family home,3,2,37,Full-time
7570197,High,Own,Urban,23,Apartment,5,1,22,Self-employed
2262913,High,Own,Suburban,41,Apartment,5,1,28,Part-time
1915090,High,Own,Urban,34,Townhouse,1,3,44,Full-time
67168,Low,Own,Urban,17,Townhouse,3,5,28,Full-time
74986,Medium,Own,Urban,41,Single-family home,2,1,56,Part-time
1560627,High,Rent,Suburban,24,Single-family home,1,2,27,Self-employed
68448,Low,Own,Suburban,42,Townhouse,0,7,48,Full-time
68764,Low,Rent,Urban,22,Single-family home,5,3,47,Full-time
9256278,High,Rent,Suburban,29,Apartment,1,4,44,Self-employed
75202,Medium,Own,Urban,49,Single-family home,4,1,28,Self-employed
69144,Low,Own,Urban,34,Apartment,2,6,65,Self-employed
74840,Medium,Own,Urban,49,Single-family home,4,6,67,Self-employed
2656168,High,Own,Suburban,33,Single-family home,2,6,33,Part-time
70132,Medium,Own,Urban,44,Townhouse,2,7,62,Part-time
652099,High,Own,Urban,4,Single-family home,5,3,26,Full-time
73930,Medium,Own,Suburban,12,Single-family home,5,7,64,Full-time
2218208,High,Rent,Suburban,30,Townhouse,5,5,38,Full-time
74826,Medium,Own,Suburban,21,Single-family home,3,2,27,Full-time
340617,High,Rent,Urban,41,Apartment,0,2,60,Full-time
73996,Medium,Own,Suburban,16,Apartment,4,2,65,Self-employed
1149251,High,Own,Urban,18,Apartment,2,7,61,Part-time
7958010,High,Own,Urban,39,Apartment,4,3,67,Full-time
303503,High,Rent,Urban,45,Apartment,1,1,24,Part-time
69386,Low,Own,Suburban,6,Apartment,5,4,48,Full-time
472049,High,Own,Rural,46,Apartment,5,5,20,Full-time
71110,Medium,Own,Urban,6,Townhouse,1,4,37,Self-employed
73302,Medium,Own,Suburban,14,Townhouse,3,7,67,Self-employed
73844,Medium,Rent,Urban,35,Townhouse,4,7,28,Part-time
75442,Medium,Own,Suburban,31,Apartment,4,1,30,Full-time
725321,High,Rent,Urban,28,Apartment,1,7,46,Full-time
68254,Low,Rent,Urban,36,Townhouse,1,1,68,Full-time
377502,High,Own,Urban,4,Single-family home,4,6,29,Full-time
845328,High,Rent,Urban,49,Apartment,4,2,19,Self-employed
71282,Medium,Own,Suburban,40,Single-family home,4,6,34,Full-time
69090,Low,Own,Suburban,31,Single-family home,5,3,69,Part-time
72606,Medium,Own,Urban,11,Townhouse,1,4,68,Full-time
9627488,High,Own,Urban,2,Townhouse,0,5,20,Full-time
67094,Low,Rent,Urban,16,Apartment,4,1,34,Full-time
1410141,High,Rent,Urban,48,Apartment,2,6,42,Full-time
72004,Medium,Own,Urban,20,Apartment,2,6,46,Full-time
71314,Medium,Own,Urban,43,Single-family home,5,2,47,Full-time
73648,Medium,Own,Suburban,35,Apartment,4,2,33,Part-time
66700,Low,Own,Urban,18,Apartment,4,6,56,Full-time
68368,Low,Own,Urban,5,Apartment,5,5,53,Self-employed
75442,Medium,Own,Urban,35,Apartment,1,7,34,Full-time
73396,Medium,Rent,Urban,35,Townhouse,2,6,38,Part-time
69486,Low,Own,Urban,32,Single-family home,5,3,42,Full-time
31530,Low,Rent,Urban,33,Townhouse,5,6,18,Part-time
70636,Medium,Own,Urban,16,Apartment,5,4,52,Self-employed
68850,Low,Own,Urban,47,Apartment,4,4,46,Part-time
788022,High,Rent,Suburban,17,Apartment,3,3,52,Full-time
72812,Medium,Rent,Urban,21,Apartment,1,7,21,Part-time
68752,Low,Own,Urban,11,Single-family home,2,4,67,Self-employed
66758,Low,Own,Urban,37,Apartment,5,2,52,Full-time
66172,Low,Own,Suburban,2,Single-family home,1,1,61,Full-time
69780,Low,Own,Urban,7,Single-family home,5,6,38,Full-time
979144,High,Own,Urban,14,Apartment,5,1,28,Full-time
66188,Low,Rent,Urban,24,Single-family home,4,2,29,Self-employed
67700,Low,Own,Urban,37,Townhouse,0,3,60,Part-time
3868740,High,Own,Urban,33,Apartment,5,3,64,Part-time
70462,Medium,Own,Urban,40,Apartment,3,7,64,Part-time
65032,Low,Own,Urban,8,Single-family home,2,2,43,Part-time
150119,High,Rent,Rural,21,Single-family home,1,7,60,Part-time
69458,Low,Own,Suburban,37,Single-family home,2,4,28,Part-time
65068,Low,Rent,Urban,6,Apartment,4,4,56,Full-time
64988,Low,Own,Suburban,6,Single-family home,0,2,41,Full-time
68102,Low,Own,Rural,14,Apartment,4,6,33,Full-time
289038,High,Rent,Rural,25,Apartment,1,2,63,Self-employed
71718,Medium,Own,Urban,26,Apartment,0,3,36,Full-time
74652,Medium,Own,Urban,40,Single-family home,1,2,68,Full-time
68716,Low,Own,Suburban,50,Apartment,5,4,42,Full-time
127828,Medium,Own,Urban,14,Apartment,4,2,48,Part-time
3898551,High,Own,Urban,41,Apartment,4,7,65,Part-time
67118,Low,Own,Suburban,22,Single-family home,3,5,66,Full-time
191350,High,Own,Urban,42,Apartment,5,5,66,Self-employed
68770,Low,Own,Suburban,7,Single-family home,5,3,28,Full-time
181232,High,Own,Rural,11,Apartment,0,6,32,Part-time
80251,Medium,Own,Urban,18,Apartment,4,1,31,Part-time
71246,Medium,Own,Urban,43,Townhouse,4,5,53,Full-time
46189,Low,Rent,Urban,50,Apartment,5,5,25,Full-time
2443126,High,Rent,Rural,33,Apartment,4,5,40,Part-time
66372,Low,Own,Suburban,22,Apartment,4,2,53,Self-employed
73926,Medium,Rent,Suburban,43,Townhouse,5,2,61,Full-time
466266,High,Own,Suburban,18,Townhouse,5,2,36,Part-time
71808,Medium,Rent,Rural,5,Townhouse,2,5,19,Full-time
199040,High,Rent,Rural,17,Single-family home,5,4,58,Full-time
71466,Medium,Own,Urban,24,Single-family home,0,5,26,Part-time
